"Protein Group","Uniprot Accession","Gene Symbol","Protein Description","ProteinProphet Probability","SVM Classification","SVM Probability","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","Unique Peptides","Coverage (%)"
437,"O94992","HEXIM1","Protein HEXIM1 ",1,"Non-Exosome","0.915"," 0.680 +/- 0.160","-0.556","0.320 +/- 0.100","-1.644",1,4.2
438,"O95168-2","NDUFB4","Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 ",1,"Non-Exosome","0.918"," 0.645 +/- 0.325","-0.633","0.304 +/- 0.014","-1.719",2,23.3
439,"H0YM15","FAM63B","Family with sequence similarity 63; member B; isoform CRA_e ",0.0049,"Non-Exosome","0.653"," 0.187 +/- 0.037","-2.421","0.095 +/- 0.035","-3.396",2,0
440,"O95202","LETM1","LETM1 and EF-hand domain-containing protein 1; mitochondrial ",1,"Non-Exosome","0.912"," 0.400 +/- 0.052","-1.321","0.226 +/- 0.037","-2.144",8,14.1
441,"O95292","VAPB","Vesicle-associated membrane protein-associated protein B/C ",1,"Non-Exosome","0.872"," 0.357 +/- 0.061","-1.488","0.170 +/- 0.005","-2.554",6,33.3
442,"Q9P0L0-2","VAPA","Isoform 2 of Vesicle-associated membrane protein-associated protein A ",1,"Non-Exosome","0.859"," 0.315 +/- 0.089","-1.664","0.167 +/- 0.040","-2.583",3,24.5
443,"O95297","MPZL1","Myelin protein zero-like protein 1 ",1,"Non-Exosome","0.583"," 1.051 +/- 0.219"," 0.072","0.816 +/- 0.176","-0.293",5,15.2
444,"O95298","NDUFC2","NADH dehydrogenase [ubiquinone] 1 subunit C2 ",1,"Non-Exosome","0.869"," 0.324 +/- 0.039","-1.625","0.175 +/- 0.032","-2.515",5,29.4
445,"O95373","IPO7","Importin-7 ",1,"Non-Exosome","0.832"," 0.696 +/- 0.283","-0.522","0.649 +/- 0.271","-0.624",8,11.5
446,"O95433","AHSA1","Activator of 90 kDa heat shock protein ATPase homolog 1 ",1,"Non-Exosome","0.918"," 0.450 +/- 0.037","-1.153","0.446 +/- 0.004","-1.164",3,15.1
447,"O95490-2","LPHN2","Isoform 2 of Latrophilin-2 ",1,"Exosome","0.724"," 1.785 +/- 0.451"," 0.836","0.915 +/- 0.245","-0.128",4,4.4
448,"O95571","ETHE1","Persulfide dioxygenase ETHE1; mitochondrial ",1,"Non-Exosome","0.899"," 0.758 +/- 0.678","-0.401","0.392 +/- 0.302","-1.349",2,25.3
449,"O60488-2","ACSL4","Isoform Short of Long-chain-fatty-acid--CoA ligase 4 ",1,"Non-Exosome","0.928"," 0.507 +/- 0.180","-0.979","0.375 +/- 0.098","-1.415",4,13.4
450,"O95573","ACSL3","Long-chain-fatty-acid--CoA ligase 3 ",1,"Non-Exosome","0.886"," 0.336 +/- 0.036","-1.573","0.194 +/- 0.040","-2.370",7,14.2
451,"O95630","STAMBP","STAM-binding protein ",1,"Non-Exosome","0.911"," 0.670 +/- 0.080","-0.578","0.408 +/- 0.118","-1.292",3,12.3
452,"Q9UEW8","STK39","STE20/SPS1-related proline-alanine-rich protein kinase ",0.9997,"Non-Exosome","0.928"," 0.530 +/- 0.010","-0.916","0.362 +/- 0.078","-1.464",2,3.3
453,"O95747","OXSR1","Serine/threonine-protein kinase OSR1 ",1,"Non-Exosome","0.911"," 0.438 +/- 0.008","-1.190","0.220 +/- 0.020","-2.184",4,13.5
454,"O95816","BAG2","BAG family molecular chaperone regulator 2 ",1,"Non-Exosome","0.920"," 0.548 +/- 0.168","-0.867","0.257 +/- 0.147","-1.962",3,22.5
455,"O95831-3","AIFM1","Isoform 3 of Apoptosis-inducing factor 1; mitochondrial ",1,"Non-Exosome","0.845"," 0.490 +/- 0.010","-1.029","0.700 +/- 0.370","-0.515",1,10.2
456,"O96008-2","TOMM40","Isoform 2 of Mitochondrial import receptor subunit TOM40 homolog ",1,"Non-Exosome","0.916"," 0.391 +/- 0.026","-1.354","0.244 +/- 0.029","-2.034",3,10.3
457,"O96013-2","PAK4","Isoform 2 of Serine/threonine-protein kinase PAK 4 ",1,"Non-Exosome","0.873"," 0.875 +/- 0.105","-0.193","0.400 +/- 0.170","-1.322",2,3.8
458,"P00167-2","CYB5A","Isoform 2 of Cytochrome b5 ",1,"Non-Exosome","0.911"," 0.410 +/- 0.080","-1.286","0.222 +/- 0.022","-2.174",2,49
459,"Q6ZMR3","LDHAL6A","L-lactate dehydrogenase A-like 6A ",0.0072,"Non-Exosome","0.926"," 0.550 +/- 0.023","-0.862","0.373 +/- 0.033","-1.421",2,0
460,"P00338-3","LDHA","Isoform 3 of L-lactate dehydrogenase A chain ",1,"Non-Exosome","0.874"," 0.735 +/- 0.106","-0.445","0.518 +/- 0.167","-0.949",9,37.7
461,"P06703","S100A6","Protein S100-A6 ",1,"Non-Exosome","0.919"," 0.647 +/- 0.046","-0.629","0.335 +/- 0.031","-1.580",3,25.9
462,"P07195","LDHB","L-lactate dehydrogenase B chain ",1,"Non-Exosome","0.921"," 0.630 +/- 0.002","-0.666","0.338 +/- 0.008","-1.565",11,36.8
463,"P28066","PSMA5","Proteasome subunit alpha type-5 ",1,"Non-Exosome","0.903"," 0.678 +/- 0.112","-0.562","0.250 +/- 0.020","-2.000",4,28.2
464,"Q8WZ42-11","TTN","Isoform 11 of Titin ",1,"Non-Exosome","0.922"," 0.509 +/- 0.025","-0.973","0.259 +/- 0.009","-1.947",3,0.4
465,"P49448","GLUD2","Glutamate dehydrogenase 2; mitochondrial ",0.0837,"Non-Exosome","0.894"," 0.366 +/- 0.014","-1.449","0.197 +/- 0.012","-2.344",8,0
466,"P00367","GLUD1","Glutamate dehydrogenase 1; mitochondrial ",1,"Non-Exosome","0.920"," 0.432 +/- 0.002","-1.210","0.246 +/- 0.013","-2.024",15,36.7
467,"P00387-2","CYB5R3","Isoform 2 of NADH-cytochrome b5 reductase 3 ",1,"Non-Exosome","0.911"," 0.382 +/- 0.075","-1.388","0.230 +/- 0.050","-2.120",4,21.9
468,"P00441","SOD1","Superoxide dismutase [Cu-Zn] ",1,"Non-Exosome","0.858"," 0.953 +/- 0.069","-0.070","0.372 +/- 0.058","-1.428",2,25.3
469,"P00491","PNP","Purine nucleoside phosphorylase ",1,"Non-Exosome","0.911"," 0.698 +/- 0.127","-0.518","0.372 +/- 0.258","-1.425",5,21.8
470,"P00492","HPRT1","Hypoxanthine-guanine phosphoribosyltransferase ",1,"Non-Exosome","0.869"," 0.911 +/- 0.466","-0.135","0.372 +/- 0.022","-1.428",5,24.8
471,"P00505","GOT2","Aspartate aminotransferase; mitochondrial ",1,"Non-Exosome","0.917"," 0.418 +/- 0.016","-1.258","0.240 +/- 0.058","-2.057",8,24.2
472,"J3KTI5","ERBB2","Receptor tyrosine-protein kinase erbB-2 (Fragment) ",0.3332,"Non-Exosome","0.648"," 1.242 +/- 0.358"," 0.313","0.602 +/- 0.178","-0.731",2,11.2
473,"P04626-2","ERBB2","Isoform 2 of Receptor tyrosine-protein kinase erbB-2 ",0.3369,"Non-Exosome","0.648"," 1.242 +/- 0.358"," 0.313","0.602 +/- 0.178","-0.731",2,7
474,"P00533","EGFR","Epidermal growth factor receptor ",1,"Non-Exosome","0.613"," 1.122 +/- 0.031"," 0.166","0.726 +/- 0.029","-0.461",11,16.1
475,"P00558","PGK1","Phosphoglycerate kinase 1 ",1,"Non-Exosome","0.802"," 0.894 +/- 0.065","-0.161","0.582 +/- 0.037","-0.780",15,47
476,"P00568","AK1","Adenylate kinase isoenzyme 1 ",1,"Non-Exosome","0.895"," 0.482 +/- 0.048","-1.051","0.192 +/- 0.102","-2.377",3,14.4
477,"P00749-2","PLAU","Isoform 2 of Urokinase-type plasminogen activator ",1,"Exosome","0.836"," 1.985 +/- 0.324"," 0.989","1.264 +/- 0.066"," 0.338",5,16.2
478,"P00750-3","PLAT","Isoform 3 of Tissue-type plasminogen activator ",1,"Non-Exosome","0.904"," 0.480 +/- 0.080","-1.059","0.208 +/- 0.007","-2.269",2,6.1
479,"P01008","SERPINC1","Antithrombin-III ",1,"Exosome","0.596"," 1.754 +/- 0.478"," 0.811","0.696 +/- 0.218","-0.524",4,6.5
480,"P33981-2","TTK","Isoform 2 of Dual specificity protein kinase TTK ",0.0017,"Non-Exosome","0.853"," 0.772 +/- 0.092","-0.372","0.550 +/- 0.040","-0.862",1,0
481,"O94973","AP2A2","AP-2 complex subunit alpha-2 ",1,"Non-Exosome","0.713"," 1.004 +/- 0.210"," 0.006","0.658 +/- 0.004","-0.603",4,5.1
482,"O95782-2","AP2A1","Isoform B of AP-2 complex subunit alpha-1 ",1,"Exosome","0.568"," 1.312 +/- 0.318"," 0.392","0.862 +/- 0.176","-0.214",9,9.7
483,"P01023","A2M","Alpha-2-macroglobulin ",1,"Exosome","0.732"," 7.132 +/- 0.467"," 2.834","1.210 +/- 0.109"," 0.275",11,7.4
484,"P20742","PZP","Pregnancy zone protein ",1,"Exosome","0.752"," 6.205 +/- 1.055"," 2.633","1.174 +/- 0.190"," 0.231",8,5.7
485,"P01024","C3","Complement C3 ",1,"Non-Exosome","0.728"," 1.231 +/- 0.033"," 0.300","0.486 +/- 0.122","-1.039",5,4
486,"P01031","C5","Complement C5 ",1,"Non-Exosome","0.870"," 0.765 +/- 0.005","-0.386","0.510 +/- 0.000","-0.971",3,2.6
487,"P01130-2","LDLR","Isoform 2 of Low-density lipoprotein receptor ",1,"Non-Exosome","0.740"," 0.882 +/- 0.288","-0.180","0.700 +/- 0.270","-0.515",2,5.4
488,"Q29960-2","HLA-C","Isoform 2 of HLA class I histocompatibility antigen; Cw-16 alpha chain ",0.0075,"Non-Exosome","0.703"," 1.105 +/- 0.625"," 0.144","0.608 +/- 0.002","-0.719",2,0
489,"Q9TNN7","HLA-C","HLA class I histocompatibility antigen; Cw-5 alpha chain ",0.0076,"Non-Exosome","0.565"," 1.248 +/- 0.482"," 0.320","0.711 +/- 0.106","-0.492",3,0
490,"Q09160","HLA-A","HLA class I histocompatibility antigen; A-80 alpha chain ",0.0094,"Non-Exosome","0.820"," 0.896 +/- 0.159","-0.158","0.542 +/- 0.162","-0.882",3,0
491,"P30499","HLA-C","HLA class I histocompatibility antigen; Cw-1 alpha chain ",0.0113,"Exosome","0.671"," 1.423 +/- 0.066"," 0.508","0.989 +/- 0.249","-0.016",4,0
492,"P05534","HLA-A","HLA class I histocompatibility antigen; A-24 alpha chain ",0.0141,"Non-Exosome","0.647"," 1.058 +/- 0.382"," 0.081","0.725 +/- 0.265","-0.464",2,0
493,"P04439","HLA-A","HLA class I histocompatibility antigen; A-3 alpha chain ",0.0167,"Non-Exosome","0.578"," 1.151 +/- 0.071"," 0.203","0.754 +/- 0.291","-0.408",5,0
494,"P30481","HLA-B","HLA class I histocompatibility antigen; B-44 alpha chain ",0.017,"Exosome","0.811"," 1.697 +/- 0.008"," 0.763","1.268 +/- 0.400"," 0.342",2,0
495,"P18464","HLA-B","HLA class I histocompatibility antigen; B-51 alpha chain ",0.0176,"Exosome","0.811"," 1.697 +/- 0.008"," 0.763","1.268 +/- 0.400"," 0.342",2,0
496,"P04222","HLA-C","HLA class I histocompatibility antigen; Cw-3 alpha chain ",0.0177,"Exosome","0.738"," 1.579 +/- 0.134"," 0.659","1.050 +/- 0.264"," 0.070",4,0
497,"Q95604","HLA-C","HLA class I histocompatibility antigen; Cw-17 alpha chain ",0.0209,"Non-Exosome","0.669"," 1.124 +/- 0.179"," 0.168","0.645 +/- 0.030","-0.633",4,0
498,"P10321","HLA-C","HLA class I histocompatibility antigen; Cw-7 alpha chain ",0.0227,"Exosome","0.666"," 1.439 +/- 0.009"," 0.526","0.966 +/- 0.266","-0.050",4,0
499,"P30459","HLA-A","HLA class I histocompatibility antigen; A-74 alpha chain ",0.0392,"Non-Exosome","0.578"," 1.151 +/- 0.071"," 0.203","0.754 +/- 0.291","-0.408",5,0
500,"P30505","HLA-C","HLA class I histocompatibility antigen; Cw-8 alpha chain ",0.9987,"Exosome","0.738"," 1.579 +/- 0.134"," 0.659","1.050 +/- 0.264"," 0.070",4,19.7
501,"P01892","HLA-A","HLA class I histocompatibility antigen; A-2 alpha chain ",1,"Non-Exosome","0.646"," 1.081 +/- 0.048"," 0.112","0.705 +/- 0.074","-0.505",8,38.9
502,"P30479","HLA-B","HLA class I histocompatibility antigen; B-41 alpha chain ",1,"Exosome","0.798"," 1.599 +/- 0.106"," 0.678","1.274 +/- 0.393"," 0.350",3,20.2
503,"P02545","LMNA","Prelamin-A/C ",1,"Non-Exosome","0.916"," 0.432 +/- 0.055","-1.210","0.233 +/- 0.016","-2.101",26,47
504,"Q63ZY3-2","KANK2","Isoform 2 of KN motif and ankyrin repeat domain-containing protein 2 ",0.9999,"Non-Exosome","0.881"," 0.445 +/- 0.195","-1.168","0.175 +/- 0.095","-2.515",1,4.5
505,"P02649","APOE","Apolipoprotein E ",1,"Exosome","0.755"," 2.064 +/- 0.038"," 1.046","0.904 +/- 0.136","-0.146",2,7.9
506,"P02751-17","FN1","Isoform 17 of Fibronectin ",1,"Exosome","0.871"," 2.450 +/- 0.140"," 1.293","1.483 +/- 0.040"," 0.568",37,29.8
507,"P02765","AHSG","Alpha-2-HS-glycoprotein ",1,"Exosome","0.860"," 7.762 +/- 0.409"," 2.957","3.616 +/- 0.003"," 1.854",1,5.4
508,"B7WNR0","ALB","Serum albumin ",0.0663,"Exosome","0.867"," 4.101 +/- 0.502"," 2.036","1.950 +/- 0.100"," 0.963",7,0
509,"P02768","ALB","Serum albumin ",1,"Exosome","0.867"," 4.101 +/- 0.502"," 2.036","1.950 +/- 0.100"," 0.963",7,16.7
510,"Q9UP52-2","TFR2","Isoform Beta of Transferrin receptor protein 2 ",0.8172,"Exosome","0.562"," 1.055 +/- 0.245"," 0.077","1.055 +/- 0.115"," 0.077",1,2.7
511,"P02786","TFRC","Transferrin receptor protein 1 ",1,"Non-Exosome","0.753"," 0.895 +/- 0.003","-0.159","0.668 +/- 0.059","-0.581",18,30.9
512,"E9PKY7","FTH1","Ferritin (Fragment) ",0.0146,"Exosome","0.571"," 1.895 +/- 0.265"," 0.922","0.615 +/- 0.025","-0.701",2,0
513,"P02794","FTH1","Ferritin heavy chain ",1,"Exosome","0.596"," 1.854 +/- 0.224"," 0.890","0.663 +/- 0.073","-0.593",3,28.1
514,"P05062","ALDOB","Fructose-bisphosphate aldolase B ",0.0094,"Non-Exosome","0.881"," 0.758 +/- 0.155","-0.399","0.478 +/- 0.185","-1.064",2,0
515,"A8MVZ9","ALDOC","Fructose-bisphosphate aldolase ",0.0313,"Non-Exosome","0.776"," 0.906 +/- 0.210","-0.142","0.622 +/- 0.086","-0.685",5,0
516,"H3BU78","ALDOA","Fructose-bisphosphate aldolase (Fragment) ",0.0405,"Non-Exosome","0.893"," 0.779 +/- 0.128","-0.360","0.405 +/- 0.046","-1.305",5,0
517,"P04075-2","ALDOA","Isoform 2 of Fructose-bisphosphate aldolase A ",1,"Non-Exosome","0.898"," 0.754 +/- 0.064","-0.408","0.403 +/- 0.049","-1.313",8,38.2
518,"P09972","ALDOC","Fructose-bisphosphate aldolase C ",1,"Non-Exosome","0.776"," 0.906 +/- 0.210","-0.142","0.622 +/- 0.086","-0.685",5,20.1
519,"P04083","ANXA1","Annexin A1 ",1,"Non-Exosome","0.900"," 0.754 +/- 0.087","-0.407","0.384 +/- 0.062","-1.382",14,40.8
520,"P04156-2","PRNP","Isoform 2 of Major prion protein ",1,"Non-Exosome","0.615"," 1.270 +/- 0.320"," 0.345","0.632 +/- 0.182","-0.661",1,8.5
521,"P04179-2","SOD2","Isoform 2 of Superoxide dismutase [Mn]; mitochondrial ",1,"Non-Exosome","0.898"," 0.344 +/- 0.118","-1.542","0.212 +/- 0.004","-2.241",3,17.6
522,"P04181","OAT","Ornithine aminotransferase; mitochondrial ",1,"Non-Exosome","0.836"," 0.385 +/- 0.051","-1.375","0.141 +/- 0.045","-2.830",6,18.2
523,"O14556","GAPDHS","Glyceraldehyde-3-phosphate dehydrogenase; testis-specific ",0.9988,"Non-Exosome","0.924"," 0.598 +/- 0.045","-0.741","0.333 +/- 0.001","-1.588",5,9.3
524,"P04406","GAPDH","Glyceraldehyde-3-phosphate dehydrogenase ",1,"Non-Exosome","0.897"," 0.770 +/- 0.119","-0.377","0.387 +/- 0.036","-1.368",16,44.5
525,"P04632","CAPNS1","Calpain small subunit 1 ",1,"Non-Exosome","0.923"," 0.515 +/- 0.003","-0.957","0.264 +/- 0.008","-1.921",4,28.6
526,"P04637-4","TP53","Isoform 4 of Cellular tumor antigen p53 ",1,"Non-Exosome","0.746"," 0.192 +/- 0.007","-2.383","0.141 +/- 0.001","-2.828",4,15.5
527,"P04792","HSPB1","Heat shock protein beta-1 ",1,"Non-Exosome","0.924"," 0.394 +/- 0.004","-1.343","0.289 +/- 0.075","-1.790",5,39
528,"P04843","RPN1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 ",1,"Non-Exosome","0.918"," 0.567 +/- 0.158","-0.818","0.255 +/- 0.069","-1.972",14,33.1
529,"P04844-2","RPN2","Isoform 2 of Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 ",1,"Non-Exosome","0.920"," 0.474 +/- 0.051","-1.076","0.246 +/- 0.017","-2.024",9,17.1
530,"P09471","GNAO1","Guanine nucleotide-binding protein G(o) subunit alpha ",0.0039,"Exosome","0.770"," 1.654 +/- 0.096"," 0.726","1.110 +/- 0.088"," 0.151",2,0
531,"Q03113","GNA12","Guanine nucleotide-binding protein subunit alpha-12 ",0.9998,"Exosome","0.786"," 1.709 +/- 0.148"," 0.774","1.138 +/- 0.135"," 0.186",2,10
532,"P04899-4","GNAI2","Isoform sGi2 of Guanine nucleotide-binding protein G(i) subunit alpha-2 ",1,"Exosome","0.685"," 1.471 +/- 0.077"," 0.557","0.982 +/- 0.050","-0.026",7,23.7
533,"P08754","GNAI3","Guanine nucleotide-binding protein G(k) subunit alpha ",1,"Exosome","0.654"," 1.484 +/- 0.043"," 0.570","0.914 +/- 0.096","-0.130",9,26.8
534,"P29992","GNA11","Guanine nucleotide-binding protein subunit alpha-11 ",1,"Exosome","0.547"," 1.230 +/- 0.220"," 0.299","0.882 +/- 0.243","-0.181",7,27.6
535,"P50148","GNAQ","Guanine nucleotide-binding protein G(q) subunit alpha ",1,"Exosome","0.545"," 1.241 +/- 0.105"," 0.312","0.872 +/- 0.224","-0.197",5,22
536,"P63092-4","GNAS","Isoform 4 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short ",1,"Exosome","0.621"," 1.358 +/- 0.162"," 0.441","0.925 +/- 0.152","-0.113",8,20.3
537,"P63096","GNAI1","Guanine nucleotide-binding protein G(i) subunit alpha-1 ",1,"Exosome","0.631"," 1.444 +/- 0.144"," 0.530","0.891 +/- 0.096","-0.166",9,26.8
538,"Q14344","GNA13","Guanine nucleotide-binding protein subunit alpha-13 ",1,"Exosome","0.682"," 1.489 +/- 0.062"," 0.574","0.964 +/- 0.000","-0.053",5,18.8
539,"P04908","HIST1H2AB","Histone H2A type 1-B/E ",1,"Non-Exosome","0.888"," 0.404 +/- 0.009","-1.307","0.184 +/- 0.006","-2.442",5,37.7
540,"P0C0S5","H2AFZ","Histone H2A.Z ",1,"Non-Exosome","0.813"," 0.310 +/- 0.047","-1.687","0.134 +/- 0.015","-2.897",5,31.3
541,"P16104","H2AFX","Histone H2AX ",1,"Non-Exosome","0.888"," 0.404 +/- 0.009","-1.307","0.184 +/- 0.006","-2.442",5,35
542,"Q8IUE6","HIST2H2AB","Histone H2A type 2-B ",1,"Non-Exosome","0.890"," 0.407 +/- 0.006","-1.296","0.185 +/- 0.008","-2.433",4,38.5
543,"P13637-2","ATP1A3","Isoform 2 of Sodium/potassium-transporting ATPase subunit alpha-3 ",0.1153,"Non-Exosome","0.721"," 1.059 +/- 0.029"," 0.083","0.609 +/- 0.107","-0.715",12,16.7
544,"P05023-4","ATP1A1","Isoform 4 of Sodium/potassium-transporting ATPase subunit alpha-1 ",1,"Non-Exosome","0.716"," 1.062 +/- 0.058"," 0.087","0.615 +/- 0.066","-0.701",31,38.9
545,"P05026-2","ATP1B1","Isoform 2 of Sodium/potassium-transporting ATPase subunit beta-1 ",1,"Non-Exosome","0.827"," 0.874 +/- 0.029","-0.194","0.543 +/- 0.136","-0.880",7,29.2
546,"P05091","ALDH2","Aldehyde dehydrogenase; mitochondrial ",1,"Non-Exosome","0.902"," 0.573 +/- 0.150","-0.803","0.215 +/- 0.065","-2.218",3,6.8
547,"P05106-2","ITGB3","Isoform Beta-3B of Integrin beta-3 ",1,"Non-Exosome","0.868"," 0.859 +/- 0.169","-0.220","0.438 +/- 0.043","-1.190",6,12.5
548,"P05141","SLC25A5","ADP/ATP translocase 2 ",1,"Non-Exosome","0.846"," 0.280 +/- 0.009","-1.835","0.167 +/- 0.023","-2.586",20,53
549,"P12235","SLC25A4","ADP/ATP translocase 1 ",1,"Non-Exosome","0.874"," 0.307 +/- 0.024","-1.703","0.186 +/- 0.029","-2.425",15,41.3
550,"P12236","SLC25A6","ADP/ATP translocase 3 ",1,"Non-Exosome","0.838"," 0.278 +/- 0.005","-1.845","0.160 +/- 0.023","-2.646",16,39.9
551,"P05198","EIF2S1","Eukaryotic translation initiation factor 2 subunit 1 ",1,"Non-Exosome","0.919"," 0.547 +/- 0.102","-0.869","0.253 +/- 0.026","-1.982",10,31.1
552,"P05362","ICAM1","Intercellular adhesion molecule 1 ",1,"Non-Exosome","0.550"," 1.305 +/- 0.038"," 0.384","0.698 +/- 0.037","-0.519",8,22.7
553,"H0YDD8","RPLP2","60S acidic ribosomal protein P2 (Fragment) ",0.034,"Non-Exosome","0.859"," 0.425 +/- 0.008","-1.236","0.155 +/- 0.037","-2.686",3,0
554,"P05387","RPLP2","60S acidic ribosomal protein P2 ",1,"Non-Exosome","0.911"," 0.461 +/- 0.000","-1.117","0.220 +/- 0.042","-2.183",7,60.9
555,"Q8NHW5","RPLP0P6","60S acidic ribosomal protein P0-like ",0.0537,"Non-Exosome","0.920"," 0.536 +/- 0.059","-0.899","0.256 +/- 0.015","-1.965",6,0
556,"P05388","RPLP0","60S acidic ribosomal protein P0 ",1,"Non-Exosome","0.912"," 0.697 +/- 0.204","-0.520","0.360 +/- 0.132","-1.474",8,47.5
557,"P05455","SSB","Lupus La protein ",1,"Non-Exosome","0.848"," 0.267 +/- 0.027","-1.905","0.176 +/- 0.064","-2.506",6,19.6
558,"P18564-2","ITGB6","Isoform 2 of Integrin beta-6 ",0.0049,"Exosome","0.885"," 2.820 +/- 0.306"," 1.496","2.178 +/- 0.364"," 1.123",1,0
559,"P05556","ITGB1","Integrin beta-1 ",1,"Exosome","0.884"," 2.552 +/- 0.176"," 1.352","1.941 +/- 0.159"," 0.957",18,29.1
560,"Q7Z3Y8","KRT27","Keratin; type I cytoskeletal 27 ",0.0234,"Non-Exosome","0.648"," 1.154 +/- 0.574"," 0.206","0.655 +/- 0.103","-0.611",4,0
561,"P19012","KRT15","Keratin; type I cytoskeletal 15 ",0.0299,"Non-Exosome","0.904"," 0.392 +/- 0.009","-1.351","0.209 +/- 0.029","-2.258",7,0
562,"P13646-3","KRT13","Isoform 3 of Keratin; type I cytoskeletal 13 ",0.0342,"Non-Exosome","0.924"," 0.464 +/- 0.009","-1.107","0.261 +/- 0.056","-1.936",4,0
563,"F5GWP8","JUP","Junction plakoglobin ",0.0342,"Non-Exosome","0.926"," 0.502 +/- 0.105","-0.995","0.278 +/- 0.086","-1.849",9,0
564,"C9JM50","KRT19","Keratin; type I cytoskeletal 19 (Fragment) ",0.0543,"Non-Exosome","0.914"," 0.385 +/- 0.000","-1.379","0.238 +/- 0.024","-2.072",12,0
565,"Q7Z3Y7","KRT28","Keratin; type I cytoskeletal 28 ",0.1594,"Non-Exosome","0.822"," 0.884 +/- 0.326","-0.177","0.547 +/- 0.043","-0.870",3,8.4
566,"Q7Z3Z0","KRT25","Keratin; type I cytoskeletal 25 ",0.1594,"Exosome","0.541"," 1.339 +/- 0.651"," 0.421","0.805 +/- 0.165","-0.313",2,5.6
567,"O76013-2","KRT36","Isoform 2 of Keratin; type I cuticular Ha6 ",0.3367,"Non-Exosome","0.923"," 0.408 +/- 0.022","-1.292","0.267 +/- 0.057","-1.907",1,4
568,"P02533","KRT14","Keratin; type I cytoskeletal 14 ",1,"Non-Exosome","0.912"," 0.398 +/- 0.016","-1.331","0.227 +/- 0.048","-2.137",9,18.4
569,"P05783","KRT18","Keratin; type I cytoskeletal 18 ",1,"Non-Exosome","0.900"," 0.373 +/- 0.013","-1.424","0.206 +/- 0.029","-2.282",16,46
570,"P08727","KRT19","Keratin; type I cytoskeletal 19 ",1,"Non-Exosome","0.923"," 0.430 +/- 0.045","-1.216","0.261 +/- 0.047","-1.938",20,50
571,"P13645","KRT10","Keratin; type I cytoskeletal 10 ",1,"Non-Exosome","0.827"," 0.878 +/- 0.144","-0.187","0.539 +/- 0.031","-0.892",13,26.2
572,"P14923","JUP","Junction plakoglobin ",1,"Non-Exosome","0.801"," 0.976 +/- 0.246","-0.035","0.526 +/- 0.236","-0.927",4,9
573,"P35222","CTNNB1","Catenin beta-1 ",1,"Non-Exosome","0.672"," 0.967 +/- 0.397","-0.048","0.746 +/- 0.366","-0.423",7,8.5
574,"P35527","KRT9","Keratin; type I cytoskeletal 9 ",1,"Non-Exosome","0.909"," 0.617 +/- 0.033","-0.696","0.458 +/- 0.145","-1.126",7,23.9
575,"B4DXK4","KRT72","Keratin; type II cytoskeletal 72 ",0.0052,"Non-Exosome","0.802"," 0.220 +/- 0.002","-2.186","0.511 +/- 0.411","-0.968",2,0
576,"Q7Z794","KRT77","Keratin; type II cytoskeletal 1b ",0.0088,"Non-Exosome","0.899"," 0.391 +/- 0.000","-1.355","0.201 +/- 0.026","-2.314",3,0
577,"O95678","KRT75","Keratin; type II cytoskeletal 75 ",0.0129,"Non-Exosome","0.749"," 0.241 +/- 0.038","-2.052","0.117 +/- 0.014","-3.090",3,0
578,"P07196","NEFL","Neurofilament light polypeptide ",0.0144,"Non-Exosome","0.727"," 0.312 +/- 0.012","-1.682","0.098 +/- 0.022","-3.346",1,0
579,"P14136-2","GFAP","Isoform 2 of Glial fibrillary acidic protein ",0.0161,"Non-Exosome","0.727"," 0.312 +/- 0.012","-1.682","0.098 +/- 0.022","-3.346",1,0
580,"Q5XKE5","KRT79","Keratin; type II cytoskeletal 79 ",0.0202,"Non-Exosome","0.827"," 0.245 +/- 0.052","-2.031","0.168 +/- 0.076","-2.574",5,0
581,"P04259","KRT6B","Keratin; type II cytoskeletal 6B ",0.0206,"Non-Exosome","0.841"," 0.369 +/- 0.012","-1.437","0.144 +/- 0.003","-2.792",4,0
582,"H0YIB2","KRT8","Keratin; type II cytoskeletal 8 (Fragment) ",0.0308,"Non-Exosome","0.883"," 0.342 +/- 0.015","-1.546","0.187 +/- 0.008","-2.422",4,0
583,"P17661","DES","Desmin ",0.3215,"Non-Exosome","0.851"," 0.334 +/- 0.018","-1.584","0.156 +/- 0.024","-2.685",2,8.3
584,"Q86Y46","KRT73","Keratin; type II cytoskeletal 73 ",0.8376,"Non-Exosome","0.597"," 0.206 +/- 0.012","-2.281","0.071 +/- 0.008","-3.826",1,3.1
585,"Q01546","KRT76","Keratin; type II cytoskeletal 2 oral ",0.9979,"Non-Exosome","0.710"," 0.246 +/- 0.033","-2.026","0.101 +/- 0.003","-3.312",3,6.7
586,"Q14CN4-2","KRT72","Isoform 2 of Keratin; type II cytoskeletal 72 ",0.9982,"Non-Exosome","0.802"," 0.209 +/- 0.009","-2.258","0.174 +/- 0.090","-2.521",3,7.9
