"Uniprot Accession","Protein Description","Gene Symbol","Protein Group","TMT 130/129 +/- SD","Log2 TMT 130/129","TMT 131/129 +/- SD","Log2 TMT 131/129","SVM Classification","SVM Probability"
"O94905","Erlin-2 ","ERLIN2",432," 0.524 +/- 0.028","-0.934","0.310 +/- 0.004","-1.687","Non-Exosome","0.928"
"O94906","Pre-mRNA-processing factor 6 ","PRPF6",433," 0.386 +/- 0.191","-1.372","0.239 +/- 0.109","-2.066","Non-Exosome","0.914"
"O94915","Protein furry homolog-like ","FRYL",434," 0.568 +/- 0.348","-0.817","0.428 +/- 0.268","-1.226","Non-Exosome","0.918"
"O94925-3","Isoform 3 of Glutaminase kidney isoform; mitochondrial ","GLS",435," 0.462 +/- 0.026","-1.116","0.392 +/- 0.024","-1.353","Non-Exosome","0.925"
"O94979-10","Isoform 10 of Protein transport protein Sec31A ","SEC31A",436," 0.534 +/- 0.021","-0.905","0.262 +/- 0.008","-1.930","Non-Exosome","0.921"
"O94992","Protein HEXIM1 ","HEXIM1",437," 0.680 +/- 0.160","-0.556","0.320 +/- 0.100","-1.644","Non-Exosome","0.914"
"O95168-2","Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 ","NDUFB4",438," 0.645 +/- 0.325","-0.633","0.304 +/- 0.014","-1.719","Non-Exosome","0.917"
"H0YM15","Family with sequence similarity 63; member B; isoform CRA_e ","FAM63B",439," 0.187 +/- 0.037","-2.421","0.095 +/- 0.035","-3.396","Non-Exosome","0.652"
"O95202","LETM1 and EF-hand domain-containing protein 1; mitochondrial ","LETM1",440," 0.400 +/- 0.052","-1.321","0.226 +/- 0.037","-2.144","Non-Exosome","0.911"
"O95292","Vesicle-associated membrane protein-associated protein B/C ","VAPB",441," 0.357 +/- 0.061","-1.488","0.170 +/- 0.005","-2.554","Non-Exosome","0.871"
"Q9P0L0-2","Isoform 2 of Vesicle-associated membrane protein-associated protein A ","VAPA",442," 0.315 +/- 0.089","-1.664","0.167 +/- 0.040","-2.583","Non-Exosome","0.859"
"O95297","Myelin protein zero-like protein 1 ","MPZL1",443," 1.051 +/- 0.219"," 0.072","0.816 +/- 0.176","-0.293","Non-Exosome","0.582"
"O95298","NADH dehydrogenase [ubiquinone] 1 subunit C2 ","NDUFC2",444," 0.324 +/- 0.039","-1.625","0.175 +/- 0.032","-2.515","Non-Exosome","0.869"
"O95373","Importin-7 ","IPO7",445," 0.696 +/- 0.283","-0.522","0.649 +/- 0.271","-0.624","Non-Exosome","0.831"
"O95433","Activator of 90 kDa heat shock protein ATPase homolog 1 ","AHSA1",446," 0.450 +/- 0.037","-1.153","0.446 +/- 0.004","-1.164","Non-Exosome","0.917"
"O95490-2","Isoform 2 of Latrophilin-2 ","LPHN2",447," 1.785 +/- 0.451"," 0.836","0.915 +/- 0.245","-0.128","Exosome","0.724"
"O95571","Persulfide dioxygenase ETHE1; mitochondrial ","ETHE1",448," 0.758 +/- 0.678","-0.401","0.392 +/- 0.302","-1.349","Non-Exosome","0.898"
"O60488-2","Isoform Short of Long-chain-fatty-acid--CoA ligase 4 ","ACSL4",449," 0.507 +/- 0.180","-0.979","0.375 +/- 0.098","-1.415","Non-Exosome","0.927"
"O95573","Long-chain-fatty-acid--CoA ligase 3 ","ACSL3",450," 0.336 +/- 0.036","-1.573","0.194 +/- 0.040","-2.370","Non-Exosome","0.886"
"O95630","STAM-binding protein ","STAMBP",451," 0.670 +/- 0.080","-0.578","0.408 +/- 0.118","-1.292","Non-Exosome","0.910"
"Q9UEW8","STE20/SPS1-related proline-alanine-rich protein kinase ","STK39",452," 0.530 +/- 0.010","-0.916","0.362 +/- 0.078","-1.464","Non-Exosome","0.927"
"O95747","Serine/threonine-protein kinase OSR1 ","OXSR1",453," 0.438 +/- 0.008","-1.190","0.220 +/- 0.020","-2.184","Non-Exosome","0.910"
"O95816","BAG family molecular chaperone regulator 2 ","BAG2",454," 0.548 +/- 0.168","-0.867","0.257 +/- 0.147","-1.962","Non-Exosome","0.919"
"O95831-3","Isoform 3 of Apoptosis-inducing factor 1; mitochondrial ","AIFM1",455," 0.490 +/- 0.010","-1.029","0.700 +/- 0.370","-0.515","Non-Exosome","0.844"
"O96008-2","Isoform 2 of Mitochondrial import receptor subunit TOM40 homolog ","TOMM40",456," 0.391 +/- 0.026","-1.354","0.244 +/- 0.029","-2.034","Non-Exosome","0.916"
"O96013-2","Isoform 2 of Serine/threonine-protein kinase PAK 4 ","PAK4",457," 0.875 +/- 0.105","-0.193","0.400 +/- 0.170","-1.322","Non-Exosome","0.872"
"P00167-2","Isoform 2 of Cytochrome b5 ","CYB5A",458," 0.410 +/- 0.080","-1.286","0.222 +/- 0.022","-2.174","Non-Exosome","0.910"
"Q6ZMR3","L-lactate dehydrogenase A-like 6A ","LDHAL6A",459," 0.550 +/- 0.023","-0.862","0.373 +/- 0.033","-1.421","Non-Exosome","0.925"
"P00338-3","Isoform 3 of L-lactate dehydrogenase A chain ","LDHA",460," 0.735 +/- 0.106","-0.445","0.518 +/- 0.167","-0.949","Non-Exosome","0.873"
"P06703","Protein S100-A6 ","S100A6",461," 0.647 +/- 0.046","-0.629","0.335 +/- 0.031","-1.580","Non-Exosome","0.918"
"P07195","L-lactate dehydrogenase B chain ","LDHB",462," 0.630 +/- 0.002","-0.666","0.338 +/- 0.008","-1.565","Non-Exosome","0.920"
"P28066","Proteasome subunit alpha type-5 ","PSMA5",463," 0.678 +/- 0.112","-0.562","0.250 +/- 0.020","-2.000","Non-Exosome","0.903"
"Q8WZ42-11","Isoform 11 of Titin ","TTN",464," 0.509 +/- 0.025","-0.973","0.259 +/- 0.009","-1.947","Non-Exosome","0.922"
"P49448","Glutamate dehydrogenase 2; mitochondrial ","GLUD2",465," 0.366 +/- 0.014","-1.449","0.197 +/- 0.012","-2.344","Non-Exosome","0.893"
"P00367","Glutamate dehydrogenase 1; mitochondrial ","GLUD1",466," 0.432 +/- 0.002","-1.210","0.246 +/- 0.013","-2.024","Non-Exosome","0.919"
"P00387-2","Isoform 2 of NADH-cytochrome b5 reductase 3 ","CYB5R3",467," 0.382 +/- 0.075","-1.388","0.230 +/- 0.050","-2.120","Non-Exosome","0.911"
"P00441","Superoxide dismutase [Cu-Zn] ","SOD1",468," 0.953 +/- 0.069","-0.070","0.372 +/- 0.058","-1.428","Non-Exosome","0.857"
"P00491","Purine nucleoside phosphorylase ","PNP",469," 0.698 +/- 0.127","-0.518","0.372 +/- 0.258","-1.425","Non-Exosome","0.910"
"P00492","Hypoxanthine-guanine phosphoribosyltransferase ","HPRT1",470," 0.911 +/- 0.466","-0.135","0.372 +/- 0.022","-1.428","Non-Exosome","0.868"
"P00505","Aspartate aminotransferase; mitochondrial ","GOT2",471," 0.418 +/- 0.016","-1.258","0.240 +/- 0.058","-2.057","Non-Exosome","0.917"
"J3KTI5","Receptor tyrosine-protein kinase erbB-2 (Fragment) ","ERBB2",472," 1.242 +/- 0.358"," 0.313","0.602 +/- 0.178","-0.731","Non-Exosome","0.647"
"P04626-2","Isoform 2 of Receptor tyrosine-protein kinase erbB-2 ","ERBB2",473," 1.242 +/- 0.358"," 0.313","0.602 +/- 0.178","-0.731","Non-Exosome","0.647"
"P00533","Epidermal growth factor receptor ","EGFR",474," 1.122 +/- 0.031"," 0.166","0.726 +/- 0.029","-0.461","Non-Exosome","0.612"
"P00558","Phosphoglycerate kinase 1 ","PGK1",475," 0.894 +/- 0.065","-0.161","0.582 +/- 0.037","-0.780","Non-Exosome","0.801"
"P00568","Adenylate kinase isoenzyme 1 ","AK1",476," 0.482 +/- 0.048","-1.051","0.192 +/- 0.102","-2.377","Non-Exosome","0.894"
"P00749-2","Isoform 2 of Urokinase-type plasminogen activator ","PLAU",477," 1.985 +/- 0.324"," 0.989","1.264 +/- 0.066"," 0.338","Exosome","0.836"
"P00750-3","Isoform 3 of Tissue-type plasminogen activator ","PLAT",478," 0.480 +/- 0.080","-1.059","0.208 +/- 0.007","-2.269","Non-Exosome","0.904"
"P01008","Antithrombin-III ","SERPINC1",479," 1.754 +/- 0.478"," 0.811","0.696 +/- 0.218","-0.524","Exosome","0.596"
"P33981-2","Isoform 2 of Dual specificity protein kinase TTK ","TTK",480," 0.772 +/- 0.092","-0.372","0.550 +/- 0.040","-0.862","Non-Exosome","0.853"
"O94973","AP-2 complex subunit alpha-2 ","AP2A2",481," 1.004 +/- 0.210"," 0.006","0.658 +/- 0.004","-0.603","Non-Exosome","0.712"
"O95782-2","Isoform B of AP-2 complex subunit alpha-1 ","AP2A1",482," 1.312 +/- 0.318"," 0.392","0.862 +/- 0.176","-0.214","Exosome","0.568"
"P01023","Alpha-2-macroglobulin ","A2M",483," 7.132 +/- 0.467"," 2.834","1.210 +/- 0.109"," 0.275","Exosome","0.732"
"P20742","Pregnancy zone protein ","PZP",484," 6.205 +/- 1.055"," 2.633","1.174 +/- 0.190"," 0.231","Exosome","0.752"
"P01024","Complement C3 ","C3",485," 1.231 +/- 0.033"," 0.300","0.486 +/- 0.122","-1.039","Non-Exosome","0.727"
"P01031","Complement C5 ","C5",486," 0.765 +/- 0.005","-0.386","0.510 +/- 0.000","-0.971","Non-Exosome","0.869"
"P01130-2","Isoform 2 of Low-density lipoprotein receptor ","LDLR",487," 0.882 +/- 0.288","-0.180","0.700 +/- 0.270","-0.515","Non-Exosome","0.739"
"Q29960-2","Isoform 2 of HLA class I histocompatibility antigen; Cw-16 alpha chain ","HLA-C",488," 1.105 +/- 0.625"," 0.144","0.608 +/- 0.002","-0.719","Non-Exosome","0.702"
"Q9TNN7","HLA class I histocompatibility antigen; Cw-5 alpha chain ","HLA-C",489," 1.248 +/- 0.482"," 0.320","0.711 +/- 0.106","-0.492","Non-Exosome","0.564"
"Q09160","HLA class I histocompatibility antigen; A-80 alpha chain ","HLA-A",490," 0.896 +/- 0.159","-0.158","0.542 +/- 0.162","-0.882","Non-Exosome","0.819"
"P30499","HLA class I histocompatibility antigen; Cw-1 alpha chain ","HLA-C",491," 1.423 +/- 0.066"," 0.508","0.989 +/- 0.249","-0.016","Exosome","0.671"
"P05534","HLA class I histocompatibility antigen; A-24 alpha chain ","HLA-A",492," 1.058 +/- 0.382"," 0.081","0.725 +/- 0.265","-0.464","Non-Exosome","0.646"
"P04439","HLA class I histocompatibility antigen; A-3 alpha chain ","HLA-A",493," 1.151 +/- 0.071"," 0.203","0.754 +/- 0.291","-0.408","Non-Exosome","0.577"
"P30481","HLA class I histocompatibility antigen; B-44 alpha chain ","HLA-B",494," 1.697 +/- 0.008"," 0.763","1.268 +/- 0.400"," 0.342","Exosome","0.810"
"P18464","HLA class I histocompatibility antigen; B-51 alpha chain ","HLA-B",495," 1.697 +/- 0.008"," 0.763","1.268 +/- 0.400"," 0.342","Exosome","0.810"
"P04222","HLA class I histocompatibility antigen; Cw-3 alpha chain ","HLA-C",496," 1.579 +/- 0.134"," 0.659","1.050 +/- 0.264"," 0.070","Exosome","0.738"
"Q95604","HLA class I histocompatibility antigen; Cw-17 alpha chain ","HLA-C",497," 1.124 +/- 0.179"," 0.168","0.645 +/- 0.030","-0.633","Non-Exosome","0.668"
"P10321","HLA class I histocompatibility antigen; Cw-7 alpha chain ","HLA-C",498," 1.439 +/- 0.009"," 0.526","0.966 +/- 0.266","-0.050","Exosome","0.666"
"P30459","HLA class I histocompatibility antigen; A-74 alpha chain ","HLA-A",499," 1.151 +/- 0.071"," 0.203","0.754 +/- 0.291","-0.408","Non-Exosome","0.577"
"P30505","HLA class I histocompatibility antigen; Cw-8 alpha chain ","HLA-C",500," 1.579 +/- 0.134"," 0.659","1.050 +/- 0.264"," 0.070","Exosome","0.738"
"P01892","HLA class I histocompatibility antigen; A-2 alpha chain ","HLA-A",501," 1.081 +/- 0.048"," 0.112","0.705 +/- 0.074","-0.505","Non-Exosome","0.645"
"P30479","HLA class I histocompatibility antigen; B-41 alpha chain ","HLA-B",502," 1.599 +/- 0.106"," 0.678","1.274 +/- 0.393"," 0.350","Exosome","0.798"
"P02545","Prelamin-A/C ","LMNA",503," 0.432 +/- 0.055","-1.210","0.233 +/- 0.016","-2.101","Non-Exosome","0.915"
"Q63ZY3-2","Isoform 2 of KN motif and ankyrin repeat domain-containing protein 2 ","KANK2",504," 0.445 +/- 0.195","-1.168","0.175 +/- 0.095","-2.515","Non-Exosome","0.881"
"P02649","Apolipoprotein E ","APOE",505," 2.064 +/- 0.038"," 1.046","0.904 +/- 0.136","-0.146","Exosome","0.755"
"P02751-17","Isoform 17 of Fibronectin ","FN1",506," 2.450 +/- 0.140"," 1.293","1.483 +/- 0.040"," 0.568","Exosome","0.871"
"P02765","Alpha-2-HS-glycoprotein ","AHSG",507," 7.762 +/- 0.409"," 2.957","3.616 +/- 0.003"," 1.854","Exosome","0.860"
"B7WNR0","Serum albumin ","ALB",508," 4.101 +/- 0.502"," 2.036","1.950 +/- 0.100"," 0.963","Exosome","0.867"
"P02768","Serum albumin ","ALB",509," 4.101 +/- 0.502"," 2.036","1.950 +/- 0.100"," 0.963","Exosome","0.867"
"Q9UP52-2","Isoform Beta of Transferrin receptor protein 2 ","TFR2",510," 1.055 +/- 0.245"," 0.077","1.055 +/- 0.115"," 0.077","Exosome","0.562"
"P02786","Transferrin receptor protein 1 ","TFRC",511," 0.895 +/- 0.003","-0.159","0.668 +/- 0.059","-0.581","Non-Exosome","0.753"
"E9PKY7","Ferritin (Fragment) ","FTH1",512," 1.895 +/- 0.265"," 0.922","0.615 +/- 0.025","-0.701","Exosome","0.571"
"P02794","Ferritin heavy chain ","FTH1",513," 1.854 +/- 0.224"," 0.890","0.663 +/- 0.073","-0.593","Exosome","0.596"
"P05062","Fructose-bisphosphate aldolase B ","ALDOB",514," 0.758 +/- 0.155","-0.399","0.478 +/- 0.185","-1.064","Non-Exosome","0.880"
"A8MVZ9","Fructose-bisphosphate aldolase ","ALDOC",515," 0.906 +/- 0.210","-0.142","0.622 +/- 0.086","-0.685","Non-Exosome","0.775"
"H3BU78","Fructose-bisphosphate aldolase (Fragment) ","ALDOA",516," 0.779 +/- 0.128","-0.360","0.405 +/- 0.046","-1.305","Non-Exosome","0.892"
"P04075-2","Isoform 2 of Fructose-bisphosphate aldolase A ","ALDOA",517," 0.754 +/- 0.064","-0.408","0.403 +/- 0.049","-1.313","Non-Exosome","0.897"
"P09972","Fructose-bisphosphate aldolase C ","ALDOC",518," 0.906 +/- 0.210","-0.142","0.622 +/- 0.086","-0.685","Non-Exosome","0.775"
"P04083","Annexin A1 ","ANXA1",519," 0.754 +/- 0.087","-0.407","0.384 +/- 0.062","-1.382","Non-Exosome","0.900"
"P04156-2","Isoform 2 of Major prion protein ","PRNP",520," 1.270 +/- 0.320"," 0.345","0.632 +/- 0.182","-0.661","Non-Exosome","0.615"
"P04179-2","Isoform 2 of Superoxide dismutase [Mn]; mitochondrial ","SOD2",521," 0.344 +/- 0.118","-1.542","0.212 +/- 0.004","-2.241","Non-Exosome","0.897"
"P04181","Ornithine aminotransferase; mitochondrial ","OAT",522," 0.385 +/- 0.051","-1.375","0.141 +/- 0.045","-2.830","Non-Exosome","0.835"
"O14556","Glyceraldehyde-3-phosphate dehydrogenase; testis-specific ","GAPDHS",523," 0.598 +/- 0.045","-0.741","0.333 +/- 0.001","-1.588","Non-Exosome","0.923"
"P04406","Glyceraldehyde-3-phosphate dehydrogenase ","GAPDH",524," 0.770 +/- 0.119","-0.377","0.387 +/- 0.036","-1.368","Non-Exosome","0.896"
"P04632","Calpain small subunit 1 ","CAPNS1",525," 0.515 +/- 0.003","-0.957","0.264 +/- 0.008","-1.921","Non-Exosome","0.923"
"P04637-4","Isoform 4 of Cellular tumor antigen p53 ","TP53",526," 0.192 +/- 0.007","-2.383","0.141 +/- 0.001","-2.828","Non-Exosome","0.745"
"P04792","Heat shock protein beta-1 ","HSPB1",527," 0.394 +/- 0.004","-1.343","0.289 +/- 0.075","-1.790","Non-Exosome","0.923"
"P04843","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 ","RPN1",528," 0.567 +/- 0.158","-0.818","0.255 +/- 0.069","-1.972","Non-Exosome","0.917"
"P04844-2","Isoform 2 of Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 ","RPN2",529," 0.474 +/- 0.051","-1.076","0.246 +/- 0.017","-2.024","Non-Exosome","0.919"
"P09471","Guanine nucleotide-binding protein G(o) subunit alpha ","GNAO1",530," 1.654 +/- 0.096"," 0.726","1.110 +/- 0.088"," 0.151","Exosome","0.770"
"Q03113","Guanine nucleotide-binding protein subunit alpha-12 ","GNA12",531," 1.709 +/- 0.148"," 0.774","1.138 +/- 0.135"," 0.186","Exosome","0.785"
"P04899-4","Isoform sGi2 of Guanine nucleotide-binding protein G(i) subunit alpha-2 ","GNAI2",532," 1.471 +/- 0.077"," 0.557","0.982 +/- 0.050","-0.026","Exosome","0.685"
"P08754","Guanine nucleotide-binding protein G(k) subunit alpha ","GNAI3",533," 1.484 +/- 0.043"," 0.570","0.914 +/- 0.096","-0.130","Exosome","0.654"
"P29992","Guanine nucleotide-binding protein subunit alpha-11 ","GNA11",534," 1.230 +/- 0.220"," 0.299","0.882 +/- 0.243","-0.181","Exosome","0.547"
"P50148","Guanine nucleotide-binding protein G(q) subunit alpha ","GNAQ",535," 1.241 +/- 0.105"," 0.312","0.872 +/- 0.224","-0.197","Exosome","0.545"
"P63092-4","Isoform 4 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short ","GNAS",536," 1.358 +/- 0.162"," 0.441","0.925 +/- 0.152","-0.113","Exosome","0.621"
"P63096","Guanine nucleotide-binding protein G(i) subunit alpha-1 ","GNAI1",537," 1.444 +/- 0.144"," 0.530","0.891 +/- 0.096","-0.166","Exosome","0.631"
"Q14344","Guanine nucleotide-binding protein subunit alpha-13 ","GNA13",538," 1.489 +/- 0.062"," 0.574","0.964 +/- 0.000","-0.053","Exosome","0.682"
"P04908","Histone H2A type 1-B/E ","HIST1H2AB",539," 0.404 +/- 0.009","-1.307","0.184 +/- 0.006","-2.442","Non-Exosome","0.888"
"P0C0S5","Histone H2A.Z ","H2AFZ",540," 0.310 +/- 0.047","-1.687","0.134 +/- 0.015","-2.897","Non-Exosome","0.812"
"P16104","Histone H2AX ","H2AFX",541," 0.404 +/- 0.009","-1.307","0.184 +/- 0.006","-2.442","Non-Exosome","0.888"
"Q8IUE6","Histone H2A type 2-B ","HIST2H2AB",542," 0.407 +/- 0.006","-1.296","0.185 +/- 0.008","-2.433","Non-Exosome","0.889"
"P13637-2","Isoform 2 of Sodium/potassium-transporting ATPase subunit alpha-3 ","ATP1A3",543," 1.059 +/- 0.029"," 0.083","0.609 +/- 0.107","-0.715","Non-Exosome","0.720"
"P05023-4","Isoform 4 of Sodium/potassium-transporting ATPase subunit alpha-1 ","ATP1A1",544," 1.062 +/- 0.058"," 0.087","0.615 +/- 0.066","-0.701","Non-Exosome","0.715"
"P05026-2","Isoform 2 of Sodium/potassium-transporting ATPase subunit beta-1 ","ATP1B1",545," 0.874 +/- 0.029","-0.194","0.543 +/- 0.136","-0.880","Non-Exosome","0.826"
"P05091","Aldehyde dehydrogenase; mitochondrial ","ALDH2",546," 0.573 +/- 0.150","-0.803","0.215 +/- 0.065","-2.218","Non-Exosome","0.901"
"P05106-2","Isoform Beta-3B of Integrin beta-3 ","ITGB3",547," 0.859 +/- 0.169","-0.220","0.438 +/- 0.043","-1.190","Non-Exosome","0.867"
"P05141","ADP/ATP translocase 2 ","SLC25A5",548," 0.280 +/- 0.009","-1.835","0.167 +/- 0.023","-2.586","Non-Exosome","0.845"
"P12235","ADP/ATP translocase 1 ","SLC25A4",549," 0.307 +/- 0.024","-1.703","0.186 +/- 0.029","-2.425","Non-Exosome","0.873"
"P12236","ADP/ATP translocase 3 ","SLC25A6",550," 0.278 +/- 0.005","-1.845","0.160 +/- 0.023","-2.646","Non-Exosome","0.837"
"P05198","Eukaryotic translation initiation factor 2 subunit 1 ","EIF2S1",551," 0.547 +/- 0.102","-0.869","0.253 +/- 0.026","-1.982","Non-Exosome","0.918"
"P05362","Intercellular adhesion molecule 1 ","ICAM1",552," 1.305 +/- 0.038"," 0.384","0.698 +/- 0.037","-0.519","Non-Exosome","0.549"
"H0YDD8","60S acidic ribosomal protein P2 (Fragment) ","RPLP2",553," 0.425 +/- 0.008","-1.236","0.155 +/- 0.037","-2.686","Non-Exosome","0.858"
"P05387","60S acidic ribosomal protein P2 ","RPLP2",554," 0.461 +/- 0.000","-1.117","0.220 +/- 0.042","-2.183","Non-Exosome","0.911"
"Q8NHW5","60S acidic ribosomal protein P0-like ","RPLP0P6",555," 0.536 +/- 0.059","-0.899","0.256 +/- 0.015","-1.965","Non-Exosome","0.920"
"P05388","60S acidic ribosomal protein P0 ","RPLP0",556," 0.697 +/- 0.204","-0.520","0.360 +/- 0.132","-1.474","Non-Exosome","0.911"
"P05455","Lupus La protein ","SSB",557," 0.267 +/- 0.027","-1.905","0.176 +/- 0.064","-2.506","Non-Exosome","0.848"
"P18564-2","Isoform 2 of Integrin beta-6 ","ITGB6",558," 2.820 +/- 0.306"," 1.496","2.178 +/- 0.364"," 1.123","Exosome","0.884"
"P05556","Integrin beta-1 ","ITGB1",559," 2.552 +/- 0.176"," 1.352","1.941 +/- 0.159"," 0.957","Exosome","0.884"
"Q7Z3Y8","Keratin; type I cytoskeletal 27 ","KRT27",560," 1.154 +/- 0.574"," 0.206","0.655 +/- 0.103","-0.611","Non-Exosome","0.647"
"P19012","Keratin; type I cytoskeletal 15 ","KRT15",561," 0.392 +/- 0.009","-1.351","0.209 +/- 0.029","-2.258","Non-Exosome","0.903"
"P13646-3","Isoform 3 of Keratin; type I cytoskeletal 13 ","KRT13",562," 0.464 +/- 0.009","-1.107","0.261 +/- 0.056","-1.936","Non-Exosome","0.923"
"F5GWP8","Junction plakoglobin ","JUP",563," 0.502 +/- 0.105","-0.995","0.278 +/- 0.086","-1.849","Non-Exosome","0.925"
"C9JM50","Keratin; type I cytoskeletal 19 (Fragment) ","KRT19",564," 0.385 +/- 0.000","-1.379","0.238 +/- 0.024","-2.072","Non-Exosome","0.913"
"Q7Z3Y7","Keratin; type I cytoskeletal 28 ","KRT28",565," 0.884 +/- 0.326","-0.177","0.547 +/- 0.043","-0.870","Non-Exosome","0.821"
"Q7Z3Z0","Keratin; type I cytoskeletal 25 ","KRT25",566," 1.339 +/- 0.651"," 0.421","0.805 +/- 0.165","-0.313","Exosome","0.542"
"O76013-2","Isoform 2 of Keratin; type I cuticular Ha6 ","KRT36",567," 0.408 +/- 0.022","-1.292","0.267 +/- 0.057","-1.907","Non-Exosome","0.922"
"P02533","Keratin; type I cytoskeletal 14 ","KRT14",568," 0.398 +/- 0.016","-1.331","0.227 +/- 0.048","-2.137","Non-Exosome","0.911"
"P05783","Keratin; type I cytoskeletal 18 ","KRT18",569," 0.373 +/- 0.013","-1.424","0.206 +/- 0.029","-2.282","Non-Exosome","0.899"
"P08727","Keratin; type I cytoskeletal 19 ","KRT19",570," 0.430 +/- 0.045","-1.216","0.261 +/- 0.047","-1.938","Non-Exosome","0.922"
"P13645","Keratin; type I cytoskeletal 10 ","KRT10",571," 0.878 +/- 0.144","-0.187","0.539 +/- 0.031","-0.892","Non-Exosome","0.826"
"P14923","Junction plakoglobin ","JUP",572," 0.976 +/- 0.246","-0.035","0.526 +/- 0.236","-0.927","Non-Exosome","0.800"
"P35222","Catenin beta-1 ","CTNNB1",573," 0.967 +/- 0.397","-0.048","0.746 +/- 0.366","-0.423","Non-Exosome","0.671"
"P35527","Keratin; type I cytoskeletal 9 ","KRT9",574," 0.617 +/- 0.033","-0.696","0.458 +/- 0.145","-1.126","Non-Exosome","0.908"
"B4DXK4","Keratin; type II cytoskeletal 72 ","KRT72",575," 0.220 +/- 0.002","-2.186","0.511 +/- 0.411","-0.968","Non-Exosome","0.801"
"Q7Z794","Keratin; type II cytoskeletal 1b ","KRT77",576," 0.391 +/- 0.000","-1.355","0.201 +/- 0.026","-2.314","Non-Exosome","0.898"
"O95678","Keratin; type II cytoskeletal 75 ","KRT75",577," 0.241 +/- 0.038","-2.052","0.117 +/- 0.014","-3.090","Non-Exosome","0.748"
"P07196","Neurofilament light polypeptide ","NEFL",578," 0.312 +/- 0.012","-1.682","0.098 +/- 0.022","-3.346","Non-Exosome","0.726"
"P14136-2","Isoform 2 of Glial fibrillary acidic protein ","GFAP",579," 0.312 +/- 0.012","-1.682","0.098 +/- 0.022","-3.346","Non-Exosome","0.726"
"Q5XKE5","Keratin; type II cytoskeletal 79 ","KRT79",580," 0.245 +/- 0.052","-2.031","0.168 +/- 0.076","-2.574","Non-Exosome","0.826"
"P04259","Keratin; type II cytoskeletal 6B ","KRT6B",581," 0.369 +/- 0.012","-1.437","0.144 +/- 0.003","-2.792","Non-Exosome","0.840"
"H0YIB2","Keratin; type II cytoskeletal 8 (Fragment) ","KRT8",582," 0.342 +/- 0.015","-1.546","0.187 +/- 0.008","-2.422","Non-Exosome","0.882"
"P17661","Desmin ","DES",583," 0.334 +/- 0.018","-1.584","0.156 +/- 0.024","-2.685","Non-Exosome","0.850"
"Q86Y46","Keratin; type II cytoskeletal 73 ","KRT73",584," 0.206 +/- 0.012","-2.281","0.071 +/- 0.008","-3.826","Non-Exosome","0.596"
"Q01546","Keratin; type II cytoskeletal 2 oral ","KRT76",585," 0.246 +/- 0.033","-2.026","0.101 +/- 0.003","-3.312","Non-Exosome","0.709"
"Q14CN4-2","Isoform 2 of Keratin; type II cytoskeletal 72 ","KRT72",586," 0.209 +/- 0.009","-2.258","0.174 +/- 0.090","-2.521","Non-Exosome","0.801"
"P02538","Keratin; type II cytoskeletal 6A ","KRT6A",587," 0.283 +/- 0.026","-1.823","0.141 +/- 0.021","-2.828","Non-Exosome","0.814"
"P04264","Keratin; type II cytoskeletal 1 ","KRT1",588," 0.821 +/- 0.075","-0.284","0.402 +/- 0.053","-1.313","Non-Exosome","0.884"
"P05787-2","Isoform 2 of Keratin; type II cytoskeletal 8 ","KRT8",589," 0.332 +/- 0.028","-1.590","0.165 +/- 0.014","-2.596","Non-Exosome","0.861"
"P08670","Vimentin ","VIM",590," 0.410 +/- 0.004","-1.287","0.234 +/- 0.027","-2.098","Non-Exosome","0.914"
"P08729","Keratin; type II cytoskeletal 7 ","KRT7",591," 0.348 +/- 0.012","-1.523","0.226 +/- 0.009","-2.147","Non-Exosome","0.904"
"P24534","Elongation factor 1-beta ","EEF1B2",592," 0.480 +/- 0.014","-1.057","0.232 +/- 0.009","-2.111","Non-Exosome","0.915"
"P29692-2","Isoform 2 of Elongation factor 1-delta ","EEF1D",593," 0.751 +/- 0.154","-0.412","0.250 +/- 0.038","-1.998","Non-Exosome","0.890"
"P35908","Keratin; type II cytoskeletal 2 epidermal ","KRT2",594," 0.667 +/- 0.068","-0.585","0.362 +/- 0.030","-1.464","Non-Exosome","0.915"
"P06396-2","Isoform 2 of Gelsolin ","GSN",595," 0.529 +/- 0.020","-0.920","0.251 +/- 0.019","-1.995","Non-Exosome","0.919"
"P06396-3","Isoform 3 of Gelsolin ","GSN",596," 0.529 +/- 0.020","-0.920","0.251 +/- 0.019","-1.995","Non-Exosome","0.919"
"P09769","Tyrosine-protein kinase Fgr ","FGR",597," 0.689 +/- 0.111","-0.537","0.399 +/- 0.104","-1.327","Non-Exosome","0.909"
"P28482-2","Isoform 2 of Mitogen-activated protein kinase 1 ","MAPK1",598," 0.527 +/- 0.107","-0.925","0.317 +/- 0.027","-1.659","Non-Exosome","0.928"
"B4DPY6","Hepatocyte growth factor receptor ","MET",599," 1.552 +/- 0.232"," 0.635","1.019 +/- 0.356"," 0.027","Exosome","0.721"
