"Uniprot Accession","Gene Name","Description","Gene Ontology Classifications","SVM Classification"
"O75534-2","CSDE1","Isoform 2 of Cold shock domain-containing protein E1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O75643","SNRNP200","U5 small nuclear ribonucleoprotein 200 kDa helicase ","","Non-Exosome"
"O75843","AP1G2","AP-1 complex subunit gamma-like 2 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"O75947","ATP5H","ATP synthase subunit d; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O75955","FLOT1","Flotillin-1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q7Z4Y8","ATP5L2","ATP synthase subunit g 2; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O75964","ATP5L","ATP synthase subunit g; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O75976","CPD","Carboxypeptidase D ","","Non-Exosome"
"O76094-2","SRP72","Isoform 2 of Signal recognition particle subunit SRP72 ","","Non-Exosome"
"O94760","DDAH1","N(G);N(G)-dimethylarginine dimethylaminohydrolase 1 ","","Non-Exosome"
"Q13330-2","MTA1","Isoform Short of Metastasis-associated protein MTA1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O94776","MTA2","Metastasis-associated protein MTA2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"O94804","STK10","Serine/threonine-protein kinase 10 ","","Non-Exosome"
"O75477","ERLIN1","Erlin-1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"O94905","ERLIN2","Erlin-2 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"O94906","PRPF6","Pre-mRNA-processing factor 6 ","","Non-Exosome"
"O94915","FRYL","Protein furry homolog-like ","","Non-Exosome"
"O94925-3","GLS","Isoform 3 of Glutaminase kidney isoform; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"O94979-10","SEC31A","Isoform 10 of Protein transport protein Sec31A ","GO:0031090 Organelle Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"O94992","HEXIM1","Protein HEXIM1 ","","Non-Exosome"
"O95168-2","NDUFB4","Isoform 2 of NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"H0YM15","FAM63B","Family with sequence similarity 63; member B; isoform CRA_e ","","Non-Exosome"
"O95202","LETM1","LETM1 and EF-hand domain-containing protein 1; mitochondrial ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O95292","VAPB","Vesicle-associated membrane protein-associated protein B/C ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q9P0L0-2","VAPA","Isoform 2 of Vesicle-associated membrane protein-associated protein A ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"O95297","MPZL1","Myelin protein zero-like protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"O95298","NDUFC2","NADH dehydrogenase [ubiquinone] 1 subunit C2 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O95373","IPO7","Importin-7 ","","Non-Exosome"
"O95433","AHSA1","Activator of 90 kDa heat shock protein ATPase homolog 1 ","GO:0005829 Cytosol","Non-Exosome"
"O95490-2","LPHN2","Isoform 2 of Latrophilin-2 ","GO:0005886 Plasma Membrane","Exosome"
"O95571","ETHE1","Persulfide dioxygenase ETHE1; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"O60488-2","ACSL4","Isoform Short of Long-chain-fatty-acid--CoA ligase 4 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"O95573","ACSL3","Long-chain-fatty-acid--CoA ligase 3 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O95630","STAMBP","STAM-binding protein ","","Non-Exosome"
"Q9UEW8","STK39","STE20/SPS1-related proline-alanine-rich protein kinase ","GO:0005886 Plasma Membrane","Non-Exosome"
"O95747","OXSR1","Serine/threonine-protein kinase OSR1 ","","Non-Exosome"
"O95816","BAG2","BAG family molecular chaperone regulator 2 ","","Non-Exosome"
"O95831-3","AIFM1","Isoform 3 of Apoptosis-inducing factor 1; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005788 Endoplasmic Reticulum Lumen","Non-Exosome"
"O96008-2","TOMM40","Isoform 2 of Mitochondrial import receptor subunit TOM40 homolog ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"O96013-2","PAK4","Isoform 2 of Serine/threonine-protein kinase PAK 4 ","","Non-Exosome"
"P00167-2","CYB5A","Isoform 2 of Cytochrome b5 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q6ZMR3","LDHAL6A","L-lactate dehydrogenase A-like 6A ","","Non-Exosome"
"P00338-3","LDHA","Isoform 3 of L-lactate dehydrogenase A chain ","GO:0005829 Cytosol","Non-Exosome"
"P06703","S100A6","Protein S100-A6 ","","Non-Exosome"
"P07195","LDHB","L-lactate dehydrogenase B chain ","","Non-Exosome"
"P28066","PSMA5","Proteasome subunit alpha type-5 ","GO:0005829 Cytosol","Non-Exosome"
"Q8WZ42-11","TTN","Isoform 11 of Titin ","GO:0005829 Cytosol","Non-Exosome"
"P49448","GLUD2","Glutamate dehydrogenase 2; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P00367","GLUD1","Glutamate dehydrogenase 1; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P00387-2","CYB5R3","Isoform 2 of NADH-cytochrome b5 reductase 3 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005789 Endoplasmic Reticulum Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P00441","SOD1","Superoxide dismutase [Cu-Zn] ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0005829 Cytosol; GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Non-Exosome"
"P00491","PNP","Purine nucleoside phosphorylase ","GO:0005829 Cytosol","Non-Exosome"
"P00492","HPRT1","Hypoxanthine-guanine phosphoribosyltransferase ","GO:0005829 Cytosol","Non-Exosome"
"P00505","GOT2","Aspartate aminotransferase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"J3KTI5","ERBB2","Receptor tyrosine-protein kinase erbB-2 (Fragment) ","GO:0005886 Plasma Membrane","Non-Exosome"
"P04626-2","ERBB2","Isoform 2 of Receptor tyrosine-protein kinase erbB-2 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P00533","EGFR","Epidermal growth factor receptor ","GO:0031090 Organelle Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P00558","PGK1","Phosphoglycerate kinase 1 ","","Non-Exosome"
"P00568","AK1","Adenylate kinase isoenzyme 1 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P00749-2","PLAU","Isoform 2 of Urokinase-type plasminogen activator ","GO:0005886 Plasma Membrane","Exosome"
"P00750-3","PLAT","Isoform 3 of Tissue-type plasminogen activator ","","Non-Exosome"
"P01008","SERPINC1","Antithrombin-III ","GO:0005886 Plasma Membrane","Exosome"
"P33981-2","TTK","Isoform 2 of Dual specificity protein kinase TTK ","","Non-Exosome"
"O94973","AP2A2","AP-2 complex subunit alpha-2 ","GO:0031090 Organelle Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"O95782-2","AP2A1","Isoform B of AP-2 complex subunit alpha-1 ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane",NA
"P01023","A2M","Alpha-2-macroglobulin ","","Exosome"
"P20742","PZP","Pregnancy zone protein ","","Exosome"
"P01024","C3","Complement C3 ","","Non-Exosome"
"P01031","C5","Complement C5 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P01130-2","LDLR","Isoform 2 of Low-density lipoprotein receptor ","GO:0031090 Organelle Membrane; GO:0010008 Endosome Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q29960-2","HLA-C","Isoform 2 of HLA class I histocompatibility antigen; Cw-16 alpha chain ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q9TNN7","HLA-C","HLA class I histocompatibility antigen; Cw-5 alpha chain ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q09160","HLA-A","HLA class I histocompatibility antigen; A-80 alpha chain ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0010008 Endosome Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P30499","HLA-C","HLA class I histocompatibility antigen; Cw-1 alpha chain ","GO:0005886 Plasma Membrane","Exosome"
"P05534","HLA-A","HLA class I histocompatibility antigen; A-24 alpha chain ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0010008 Endosome Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P04439","HLA-A","HLA class I histocompatibility antigen; A-3 alpha chain ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0010008 Endosome Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P30481","HLA-B","HLA class I histocompatibility antigen; B-44 alpha chain ","GO:0005886 Plasma Membrane","Exosome"
"P18464","HLA-B","HLA class I histocompatibility antigen; B-51 alpha chain ","GO:0005886 Plasma Membrane","Exosome"
"P04222","HLA-C","HLA class I histocompatibility antigen; Cw-3 alpha chain ","GO:0005886 Plasma Membrane","Exosome"
"Q95604","HLA-C","HLA class I histocompatibility antigen; Cw-17 alpha chain ","GO:0005886 Plasma Membrane","Non-Exosome"
"P10321","HLA-C","HLA class I histocompatibility antigen; Cw-7 alpha chain ","GO:0005886 Plasma Membrane","Exosome"
"P30459","HLA-A","HLA class I histocompatibility antigen; A-74 alpha chain ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0010008 Endosome Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P30505","HLA-C","HLA class I histocompatibility antigen; Cw-8 alpha chain ","GO:0005886 Plasma Membrane","Exosome"
"P01892","HLA-A","HLA class I histocompatibility antigen; A-2 alpha chain ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0010008 Endosome Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P30479","HLA-B","HLA class I histocompatibility antigen; B-41 alpha chain ","GO:0005886 Plasma Membrane","Exosome"
"P02545","LMNA","Prelamin-A/C ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0031090 Organelle Membrane; GO:0031965 Nuclear Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"Q63ZY3-2","KANK2","Isoform 2 of KN motif and ankyrin repeat domain-containing protein 2 ","","Non-Exosome"
"P02649","APOE","Apolipoprotein E ","GO:0005886 Plasma Membrane","Exosome"
"P02751-17","FN1","Isoform 17 of Fibronectin ","GO:0005886 Plasma Membrane; GO:0031012 Extracellular Matrix","Exosome"
"P02765","AHSG","Alpha-2-HS-glycoprotein ","GO:0031012 Extracellular Matrix","Exosome"
"B7WNR0","ALB","Serum albumin ","","Exosome"
"P02768","ALB","Serum albumin ","","Exosome"
"Q9UP52-2","TFR2","Isoform Beta of Transferrin receptor protein 2 ","GO:0005886 Plasma Membrane",NA
"P02786","TFRC","Transferrin receptor protein 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"E9PKY7","FTH1","Ferritin (Fragment) ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P02794","FTH1","Ferritin heavy chain ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"P05062","ALDOB","Fructose-bisphosphate aldolase B ","GO:0005829 Cytosol","Non-Exosome"
"A8MVZ9","ALDOC","Fructose-bisphosphate aldolase ","","Non-Exosome"
"H3BU78","ALDOA","Fructose-bisphosphate aldolase (Fragment) ","","Non-Exosome"
"P04075-2","ALDOA","Isoform 2 of Fructose-bisphosphate aldolase A ","","Non-Exosome"
"P09972","ALDOC","Fructose-bisphosphate aldolase C ","","Non-Exosome"
"P04083","ANXA1","Annexin A1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P04156-2","PRNP","Isoform 2 of Major prion protein ","GO:0005886 Plasma Membrane","Non-Exosome"
"P04179-2","SOD2","Isoform 2 of Superoxide dismutase [Mn]; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P04181","OAT","Ornithine aminotransferase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"O14556","GAPDHS","Glyceraldehyde-3-phosphate dehydrogenase; testis-specific ","","Non-Exosome"
"P04406","GAPDH","Glyceraldehyde-3-phosphate dehydrogenase ","","Non-Exosome"
"P04632","CAPNS1","Calpain small subunit 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P04637-4","TP53","Isoform 4 of Cellular tumor antigen p53 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P04792","HSPB1","Heat shock protein beta-1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P04843","RPN1","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P04844-2","RPN2","Isoform 2 of Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 ","GO:0031090 Organelle Membrane; GO:0005789 Endoplasmic Reticulum Membrane","Non-Exosome"
"P09471","GNAO1","Guanine nucleotide-binding protein G(o) subunit alpha ","GO:0005886 Plasma Membrane","Exosome"
"Q03113","GNA12","Guanine nucleotide-binding protein subunit alpha-12 ","GO:0005886 Plasma Membrane","Exosome"
"P04899-4","GNAI2","Isoform sGi2 of Guanine nucleotide-binding protein G(i) subunit alpha-2 ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"P08754","GNAI3","Guanine nucleotide-binding protein G(k) subunit alpha ","GO:0005886 Plasma Membrane","Exosome"
"P29992","GNA11","Guanine nucleotide-binding protein subunit alpha-11 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P50148","GNAQ","Guanine nucleotide-binding protein G(q) subunit alpha ","GO:0005886 Plasma Membrane","Non-Exosome"
"P63092-4","GNAS","Isoform 4 of Guanine nucleotide-binding protein G(s) subunit alpha isoforms short ","GO:0031090 Organelle Membrane; GO:0000139 Golgi Membrane; GO:0005886 Plasma Membrane","Exosome"
"P63096","GNAI1","Guanine nucleotide-binding protein G(i) subunit alpha-1 ","GO:0005886 Plasma Membrane","Exosome"
"Q14344","GNA13","Guanine nucleotide-binding protein subunit alpha-13 ","GO:0005886 Plasma Membrane","Exosome"
"P04908","HIST1H2AB","Histone H2A type 1-B/E ","","Non-Exosome"
"P0C0S5","H2AFZ","Histone H2A.Z ","","Non-Exosome"
"P16104","H2AFX","Histone H2AX ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"Q8IUE6","HIST2H2AB","Histone H2A type 2-B ","","Non-Exosome"
"P13637-2","ATP1A3","Isoform 2 of Sodium/potassium-transporting ATPase subunit alpha-3 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P05023-4","ATP1A1","Isoform 4 of Sodium/potassium-transporting ATPase subunit alpha-1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P05026-2","ATP1B1","Isoform 2 of Sodium/potassium-transporting ATPase subunit beta-1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P05091","ALDH2","Aldehyde dehydrogenase; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix","Non-Exosome"
"P05106-2","ITGB3","Isoform Beta-3B of Integrin beta-3 ","GO:0031090 Organelle Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P05141","SLC25A5","ADP/ATP translocase 2 ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P12235","SLC25A4","ADP/ATP translocase 1 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P12236","SLC25A6","ADP/ATP translocase 3 ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane","Non-Exosome"
"P05198","EIF2S1","Eukaryotic translation initiation factor 2 subunit 1 ","GO:0005829 Cytosol","Non-Exosome"
"P05362","ICAM1","Intercellular adhesion molecule 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"H0YDD8","RPLP2","60S acidic ribosomal protein P2 (Fragment) ","GO:0005829 Cytosol","Non-Exosome"
"P05387","RPLP2","60S acidic ribosomal protein P2 ","GO:0005829 Cytosol","Non-Exosome"
"Q8NHW5","RPLP0P6","60S acidic ribosomal protein P0-like ","GO:0005829 Cytosol","Non-Exosome"
"P05388","RPLP0","60S acidic ribosomal protein P0 ","GO:0005829 Cytosol","Non-Exosome"
"P05455","SSB","Lupus La protein ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P18564-2","ITGB6","Isoform 2 of Integrin beta-6 ","GO:0005886 Plasma Membrane","Exosome"
"P05556","ITGB1","Integrin beta-1 ","GO:0005886 Plasma Membrane","Exosome"
"Q7Z3Y8","KRT27","Keratin; type I cytoskeletal 27 ","","Non-Exosome"
"P19012","KRT15","Keratin; type I cytoskeletal 15 ","","Non-Exosome"
"P13646-3","KRT13","Isoform 3 of Keratin; type I cytoskeletal 13 ","","Non-Exosome"
"F5GWP8","JUP","Junction plakoglobin ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"C9JM50","KRT19","Keratin; type I cytoskeletal 19 (Fragment) ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q7Z3Y7","KRT28","Keratin; type I cytoskeletal 28 ","","Non-Exosome"
"Q7Z3Z0","KRT25","Keratin; type I cytoskeletal 25 ","","Non-Exosome"
"O76013-2","KRT36","Isoform 2 of Keratin; type I cuticular Ha6 ","","Non-Exosome"
"P02533","KRT14","Keratin; type I cytoskeletal 14 ","","Non-Exosome"
"P05783","KRT18","Keratin; type I cytoskeletal 18 ","","Non-Exosome"
"P08727","KRT19","Keratin; type I cytoskeletal 19 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P13645","KRT10","Keratin; type I cytoskeletal 10 ","","Non-Exosome"
"P14923","JUP","Junction plakoglobin ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P35222","CTNNB1","Catenin beta-1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P35527","KRT9","Keratin; type I cytoskeletal 9 ","","Non-Exosome"
"B4DXK4","KRT72","Keratin; type II cytoskeletal 72 ","","Non-Exosome"
"Q7Z794","KRT77","Keratin; type II cytoskeletal 1b ","","Non-Exosome"
"O95678","KRT75","Keratin; type II cytoskeletal 75 ","","Non-Exosome"
"P07196","NEFL","Neurofilament light polypeptide ","GO:0005829 Cytosol","Non-Exosome"
"P14136-2","GFAP","Isoform 2 of Glial fibrillary acidic protein ","","Non-Exosome"
"Q5XKE5","KRT79","Keratin; type II cytoskeletal 79 ","","Non-Exosome"
"P04259","KRT6B","Keratin; type II cytoskeletal 6B ","","Non-Exosome"
"H0YIB2","KRT8","Keratin; type II cytoskeletal 8 (Fragment) ","GO:0005886 Plasma Membrane","Non-Exosome"
"P17661","DES","Desmin ","GO:0005886 Plasma Membrane","Non-Exosome"
"Q86Y46","KRT73","Keratin; type II cytoskeletal 73 ","","Non-Exosome"
"Q01546","KRT76","Keratin; type II cytoskeletal 2 oral ","","Non-Exosome"
"Q14CN4-2","KRT72","Isoform 2 of Keratin; type II cytoskeletal 72 ","","Non-Exosome"
"P02538","KRT6A","Keratin; type II cytoskeletal 6A ","","Non-Exosome"
"P04264","KRT1","Keratin; type II cytoskeletal 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P05787-2","KRT8","Isoform 2 of Keratin; type II cytoskeletal 8 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P08670","VIM","Vimentin ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P08729","KRT7","Keratin; type II cytoskeletal 7 ","","Non-Exosome"
"P24534","EEF1B2","Elongation factor 1-beta ","GO:0005829 Cytosol","Non-Exosome"
"P29692-2","EEF1D","Isoform 2 of Elongation factor 1-delta ","GO:0005829 Cytosol","Non-Exosome"
"P35908","KRT2","Keratin; type II cytoskeletal 2 epidermal ","","Non-Exosome"
"P06396-2","GSN","Isoform 2 of Gelsolin ","GO:0005829 Cytosol","Non-Exosome"
"P06396-3","GSN","Isoform 3 of Gelsolin ","GO:0005829 Cytosol","Non-Exosome"
"P09769","FGR","Tyrosine-protein kinase Fgr ","","Non-Exosome"
"P28482-2","MAPK1","Isoform 2 of Mitogen-activated protein kinase 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"B4DPY6","MET","Hepatocyte growth factor receptor ","GO:0005886 Plasma Membrane","Exosome"
"Q00535-2","CDK5","Isoform 2 of Cyclin-dependent kinase 5 ","GO:0005829 Cytosol","Non-Exosome"
"E9PJF0","MAPK3","Mitogen-activated protein kinase 3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P27361-2","MAPK3","Isoform 2 of Mitogen-activated protein kinase 3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P12931-2","SRC","Isoform 2 of Proto-oncogene tyrosine-protein kinase Src ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P10721-2","KIT","Isoform 2 of Mast/stem cell growth factor receptor Kit ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005886 Plasma Membrane","Non-Exosome"
"P17948-5","FLT1","Isoform 5 of Vascular endothelial growth factor receptor 1 ","GO:0005886 Plasma Membrane","Non-Exosome"
"P53667-2","LIMK1","Isoform 2 of LIM domain kinase 1 ","GO:0005886 Plasma Membrane","Exosome"
"P08581-2","MET","Isoform 2 of Hepatocyte growth factor receptor ","GO:0005886 Plasma Membrane","Exosome"
"P24941-2","CDK2","Isoform 2 of Cyclin-dependent kinase 2 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"Q9NYV4-2","CDK12","Isoform 2 of Cyclin-dependent kinase 12 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P50750-2","CDK9","Isoform 2 of Cyclin-dependent kinase 9 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen","Non-Exosome"
"P20794-2","MAK","Isoform 2 of Serine/threonine-protein kinase MAK ","","Non-Exosome"
"P28482","MAPK1","Mitogen-activated protein kinase 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P27361-3","MAPK3","Isoform 3 of Mitogen-activated protein kinase 3 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P07948-2","LYN","Isoform 2 of Tyrosine-protein kinase Lyn ","GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P06493","CDK1","Cyclin-dependent kinase 1 ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P07947","YES1","Tyrosine-protein kinase Yes ","GO:0005829 Cytosol","Non-Exosome"
"F8W0P7","ATP5B","ATP synthase subunit beta; mitochondrial (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"H0YI37","ATP5B","ATP synthase subunit beta; mitochondrial (Fragment) ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"P06576","ATP5B","ATP synthase subunit beta; mitochondrial ","GO:0070013 Intracellular Organelle Lumen; GO:0005759 Mitochondrial Matrix; GO:0031090 Organelle Membrane; GO:0031966 Mitochondrial Membrane; GO:0005886 Plasma Membrane","Non-Exosome"
"E5RG95","ENO3","Beta-enolase (Fragment) ","GO:0005829 Cytosol","Non-Exosome"
"E5RGZ4","ENO3","Enolase (Fragment) ","GO:0005829 Cytosol","Non-Exosome"
"P13929-2","ENO3","Isoform 2 of Beta-enolase ","GO:0005829 Cytosol","Non-Exosome"
"P06733","ENO1","Alpha-enolase ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Non-Exosome"
"P09104","ENO2","Gamma-enolase ","GO:0005829 Cytosol; GO:0005886 Plasma Membrane","Exosome"
"P06744-2","GPI","Isoform 2 of Glucose-6-phosphate isomerase ","","Non-Exosome"
"P06748-2","NPM1","Isoform 2 of Nucleophosmin ","GO:0070013 Intracellular Organelle Lumen; GO:0031981 Nuclear Lumen; GO:0005829 Cytosol","Non-Exosome"
"P41252","IARS","Isoleucine--tRNA ligase; cytoplasmic ","GO:0005829 Cytosol","Non-Exosome"
"P67936-2","TPM4","Isoform 2 of Tropomyosin alpha-4 chain ","","Non-Exosome"
"J3KN67","TPM3","Tropomyosin alpha-3 chain ","","Non-Exosome"
"P07951","TPM2","Tropomyosin beta chain ","","Non-Exosome"
"P06753-2","TPM3","Isoform 2 of Tropomyosin alpha-3 chain ","","Non-Exosome"
"P09493-3","TPM1","Isoform 3 of Tropomyosin alpha-1 chain ","GO:0005886 Plasma Membrane","Non-Exosome"
"P67936","TPM4","Tropomyosin alpha-4 chain ","","Non-Exosome"
"P06756-2","ITGAV","Isoform 2 of Integrin alpha-V ","GO:0005886 Plasma Membrane","Exosome"
"P07099","EPHX1","Epoxide hydrolase 1 ","","Non-Exosome"
"P07203","GPX1","Glutathione peroxidase 1 ","GO:0005829 Cytosol","Non-Exosome"
